z_b21,z_b22,modeled_y
1.0,-0.0,-0.12587956280930612
1.00470620236118,0.02,-0.0870965345683965
1.0175197167861,0.0368421052631579,0.01942031666330557
1.03451422664587,0.0771929824561404,0.1627755556024617
1.04397820220417,0.117543859649123,0.24363717636340798
1.04399393666324,0.134385964912281,0.2437722270826237
1.04829063730027,0.188070175438596,0.2807274847216803
1.05340685907071,0.255087719298246,0.3249292845285101
1.06074840179376,0.335789473684211,0.3887327978478554
1.06568025636825,0.416491228070175,0.4318431394127318
1.07244557706124,0.503859649122807,0.49130548462534485
1.07808943319116,0.638245614035088,0.5411988543609674
1.08368788511773,0.78280701754386,0.5909495656425205
