z_b11,z_b12,modeled_y
1.0,0.330877192982456,-0.2650940995995512
1.00828893193123,0.574385964912281,0.40069854778779046
1.0164672163021,1.00350877192982,1.0629900164136359
1.02114217820035,1.35017543859649,1.4439797181248792
1.02865344804864,1.67263157894737,2.0597775471883395
1.03365395280802,2.03298245614035,2.472237200140171
1.03400393515056,2.2080701754386,2.5011799001375437
1.0346360506977,2.46526315789474,2.5534791685757767
1.04165159274105,3.17929824561404,3.136069104127351
1.05140087552503,3.92385964912281,3.952213512680835
1.05881796911886,4.6340350877193,4.578215170104059
1.06548729372613,5.34105263157895,5.144862709951738
1.07165459512908,5.99649122807017,5.67202308331477
